"id","study_id","read_calctype","read_ancovasource","read_calcmethod","read_imputemethod","justification","imbalance","read_comments","recalc_study","recalc_calctype","recalc_ancovasource","recalc_calcmethod","recalc_imputemethod","recalc_comments","extract_user","submitted_date","last_updated","is_draft"
"1","1","change score",NULL,"SMD (Hedges&#039; g) based on change score means and change score sds","r = 0.5","Cochrane Handbook recommendations (&quot;conservative correlation of 0.5 was assumed to minimize the likelihood of overstating the intervention effect&quot;), Lakens 2013 for SMD with Hedges&#039; g","half of the studies are non-randomized. The RoB checklist (Suppl 3) is not really suitable as its items are for RCTs. The RoB results are therefore questionable.","The authors present the imputation of the pre-post correlation as a limitation. Interestingly, the methods section seem to be copy-pasted and included a wording not relevant to the study (stretching vs. control).","Almquist 2022 (Group 2) (41 of 68 in Sup Fig 1, but there might be some double-counting in the forest plot)","change score",NULL,"This one is tricky. From how I understand it the authors did in fact not perform any group comparison, but only calculated within changes for each group. They used SMD with Hedges&#039; g correction for this (I could reproduce this with the number they give), but with treating the pre- and post-measures as independent. Thus not considering the pre-post correlation at all despite stating.","none","I also couldn&#039;t reproduce their data extraction. The numbers reported in the MA do neither exactly match the data from the plot or table of the original publication (which differ, by the way). So there may be several issues here. 

The main take-away is that the meta-analysis did not really use a group comparison at all despite stating this. Maybe Tab 2 indicates a potential between group comparison, but this rather looks like a comparison of different overall within-groups effects. Maybe the multi-level MA offers any additional information, but I can&#039;t find anything more on it. 

So I could reproduce the ES size measure, but not with the method stated. Also I could not reproduce the data extraction.","SN","2025-03-04 11:41:54","2025-05-20 15:22:51","0"
"2","5","change score",NULL,"SMD of change score means devided by pooled change score sds. Unclear if Hedges&#039; correction. Indirect link to Borenstein &amp; Hedges for the variance estimator, which would mean that Hedges&#039; correction applies (though their reference makes a mistake in copying the formula).","r=0.5","commonly used, &quot;balancing the risk of over- or underestimating the variance.&quot; Reference to Rosenthal","only randomized or crossover studies included",,"Franchi et al (14 of 35 in Fig 2, though there is potentially double-counting of studies)","change score",NULL,"SMD of change scores standardized by the change score standard deviation, without Hedges&#039; g correction. Variance calculation unclear","0.5","I had to try to recalculate three studies: The first and second study presented percentage differences with a measure of variability, so that no correlation imputation was needed. For the third study I could confirm the imputation procedure. In general I could reproduce the effect sizes (when not using Hedges&#039; correct, the correction was not written in the manuscript but may have been implied by the references). I could not reproduce the CIs, maybe in part because I had to extract these values from a low quality figure. 

Also, for the first study I tried to recalculate, the MA authors mistook SEM for SD, making the effect estimate incorrect. In this case the CIs were also definetly off.","SN","2025-03-04 13:35:12","2025-03-25 12:36:54","0"
"3","6","unclear",NULL,"I guess post-score based SMD (Cohen&#039;s d), but I am not exactly sure because only studies with pre and post-measures were included.",,"At some point Cochrane is referenced for the effect size measures selected, but no explicit justification.","included RCTs and CTs, analyzed separately, ROBINS-I and RoB2 bias assessment.",,"Fu (2013), from Figure S1a (Suppl)","change score",NULL,"Cohen&#039;s d SMD based on change scores (standardized by either average pre and post standard deviation or by change score standard deviation when imputing r = 0.5).","maybe r=0.5 or average pre and post sd instead","I had to use a second study to work out the effect size calculation procedure. It then worked for both. The MA neither mentioned any correlation imputation nor standard deviation combination procedure, and they provide comparable results, so I am unclear which of both was used. In general the article lacks any concrete description of the effect size calculation procedure.","SN","2025-03-06 13:00:37","2025-03-25 12:37:21","0"
"4","7","change score",NULL,"SMD of change scores standardized by pooled pre sd (this is essentially the ppc2 approach by Morris 2008)","unclear (although not needed for standardization, but for variance estimate)","reference to Morris 2008","randomized and non-randomized trials included, pedro scale rating",,"Hayes &amp; Walker (2007) [1] (87 out of 106 from S6 Fig 1)","change score",NULL,"ppc2 of Morris (change score based SMD with pooled pre sd for standardization). Matches ES and almost matches CI.","r=0.5","The authors provided the full extracted data with was extremely helpful for reanalyzing. I had to extract the original study data from a plot but received values similar to the MA authors. The MA authors made a mistake in data extraction for the sample size of the control group. The correlation imputation had to be guessed, but worked well (also in the raw data the authors commented that they used r=0.5 for calculating change score sd, which they did not use for their analysis).","SN","2025-03-07 11:55:21","2025-03-25 12:37:33","0"
"5","9","change score",NULL,"SMD based on change scores standardized by pooled pre sd (Morris ppc2).","r = 0.7","reference to Morris for the effect size. reference to Rosenthal (1986) for the correlation imputation (&quot;standard value of 0.7&quot;)","only randomized controlled trials included","The authors provide the formula for their ES and its variance.","Martínez Guardado (2020) bizeps curl (16 out of 31 from Fig 2)","change score",NULL,"SMD based on change scores standardized by pooled pre sd (Morris ppc2).","0.7","recalculation perfectly worked with the first try","SN","2025-03-07 17:28:24","2025-04-29 14:49:41","0"
"6","2","change score",NULL,"Hedges g with correction factor c= (1-3/4(n-1) using raw score standardisation (according to Becker &amp; Morris)","p calculation as reported in the Cochrane handbook alternatively:  imputation of p=0.7","all articles included pre and post-case control designs (Becker, 1988 &amp; Morris, 2008)","Risk of Bias analysis for randomised trials (RoB2) showed some concerns (64%) and 36% with high risk and analysis for nonrandomized trials (ROBINS-I) showed at least serious risk for each article",,"Simao, R. (Reference in forest plot wrong. 76 instead of 77), no. 20 in Figure 4",NULL,NULL,"was able to recalculate the Effect size with the given equation (4) by Favro which is in line with Morris 2008. I was not able to recalculate CI / variance as the change SD was not given and r=0.7 led to different CI.",,,"TS","2025-03-26 19:41:00","2025-03-28 10:21:44","0"
"7","4","unclear",NULL,"probably some change-score based MD but this is written nowhere","none","none","only RCTs included","from the forest plot and the one vague sentence on effect size calculation, I suppose the MA uses MD based on change scores. But there are almost no information given, also the language is sometimes confusing.","Carcelén-Fraile 2022 (3 out of 19 in Fig 2)","change score",NULL,"MD of change scores and their sd. Mean and sd of change scores are compared with a traditional (between-group/independent) MD. This could count as some form of change score-based standardization.","r = 0.5","This was fairly easy to recalculate, in part because the forest plot shows detailed data (mean, sd, for both groups).","SN","2025-03-28 16:56:42","2025-03-28 18:20:16","0"
"8","13","unclear",NULL,"SMD, but unclear based on what",,"none","non-randomized studies included, RoB-2 tool to assess bias (e.g. due to missing randomization)","there is really not much reported on the effect sizes. Maybe it&#039;s post score only then?","Moro 2020 (14 out of 17 in Fig 2)","post-measures",NULL,"SMD, possibly with Hedges correction but this does not make a difference in this case",,"fairly easy to recalculate because the forest plots showed means and sds for both groups.","SN","2025-03-28 18:00:00","2025-03-28 18:19:57","0"
"10","10","change score",NULL,"not required","not required","na","Randomised controlled and non-controlled training studies, ROB-2 for RCT and ROBINS for non-RCT bias assessment","This is a special case, because it is a Bayesian one-stage IPD (individual participant data) MA, which means that no effect sizes were calculated on the study level. Therefore, the design matches to what we are looking for, but the analysis method is not matching.",,NULL,NULL,,,,"SN","2025-03-28 18:36:14","2025-04-25 15:10:04","0"
"11","18","change score",NULL,,"r = 0.5",,,,,NULL,NULL,,,,"TS","2025-03-31 09:07:30","2025-03-31 09:07:30","1"
"12","26","post-measures",NULL,"MD",,"&quot;given that the included studies were exclusively randomized, and any observed
differences at postintervention were theoretically attributed to the intervention itself.&quot;","only RCTs included, ROB-2 for bias assessment","study is very explicit in the choice of effect size method (though MD has to be inferred from the forest plot). As a surrogate if no post-scores are available, the MA uses change score values. This is extensively justified by an explanation, a reference to the Cochrane handbook, and to earlier articles using the combined approach. Generally, the justification of methods is very detailed.","(7 out of 13 from Fig. 2a)","post-measures",NULL,"MD (heterogeneous variances, as it is the default for most software)",,"This was very straightforward to recalculate.","SN","2025-04-18 11:05:09","2025-04-18 11:26:29","0"
"13","24","change score",NULL,"MD","unclear","for imputation of change score sd the authors say they used &quot;established methods&quot; referencing Wan et al. 2014 BMC Med Res Meth.","only RCTs included. ROB-2 and TESTEX for bias and quality assessment","may be difficult to recalculate as the authors write that they did not include forest plots of individual study effect sizes, because the many studies &quot;rendered the font [in the plots] illegible&quot;. Interestingly while searching for any study effect sizes for recalculation, I found that in the protocol for preregistration, the authors did explicitly state their imputation method (using r = 0.5). But since this has been written before the study and not after it (and is also difficult to find), I do not take this as an extraction result.","none","unclear",NULL,"unclear",,"I could not perform any recalculation, because the study does not provide any study-level effect sizes (e.g., forest plots). I searched the article, the supplements, and the OSF project, but could not find anything.","SN","2025-04-18 11:39:52","2025-04-18 11:49:45","0"
"14","25","post-measures",NULL,"MD",,"none","only RCTs or cluster-RCTs included. ROB-2 for bias assessment","sufficient reporting for this type of ES, but no justification given","Wolfenden et al. 2019 (45 out of 45 from Fig 2)","post-measures",NULL,"MD of post score (ith a variance estimator assuming homogeneous variances)",,"The target variable had to be recalculated because it was given in absolute instead of relative units, but this worked well given that the forest plot shows individual group means and sds. When using the standard MD (not assuming homogeneous variances), one CI bound was narrowly off (by 0.01%). Assuming homogeneous variances matched the result, but I am unsure if the authors did indeed not use the RevMan software default here. Also for these numbers, it is practically irrelevant.","SN","2025-04-18 11:59:30","2025-04-18 12:40:10","0"
"15","31","change score",NULL,"SMD or MD depending on whether different scales were used","r = 0.5","none","only RCTs included, TESTEX for bias assessment","That the effect size is change-score based is not totally explicitly written somewhere, but from the extraction section and the forest plot this is quite clear.","Arthur et al. 2007 (9 out of 16 in Fig 2a, because Yamasaki et al. 1985 (8 out of 16) could not be retrieved and also is in Japanese)","change score",NULL,"SMD (Hedges&#039; g) based on change scores and their standard deviations. Probably also assuming homogeneous variance and using a particular variance estimator (both RevMan defaults), but not possible to prove because different selections yield similar result.","r = 0.5","I could recalculate the ES and its CI, but only when ignoring different issues I regard as errors. By luck, this study was a special case indicated in the MA text, because it did not present post score sds. Regardless of this I could do the recalculation and found the following issues:
1. The percentage changes are taking as the change scores. This is problematic, because for their sds, the absolute scale is used
2. I think one percentage was incorrectly extracted (18% instead of 19%)
3. The group assignment of percentage changes is incorrect, so the effect is in the wrong direction.

The ES is reproducible when considering these errors, but it is wrong in its magnitude and direction (only its precision is correct).","SN","2025-04-18 12:49:57","2025-06-25 15:12:08","0"
"16","38","unclear",NULL,"MD or SMD depending on the scales",,"none","only RCTs included, ROB-2 for bias assessment","The text says: &quot;Effect sizes (ES) were calculated based on the change score (mean difference, MD) between experimental and control groups in post-measures to demonstrate the impact of exercise.&quot; I don&#039;t know if this means the used change scores or used post-measures. 

On another note, recalculation may be difficult as I do not see an individual study forest plot.","Sardeli et al. 2022 (2 out of 4 single studies in the aggregate first panel of Fig 2)","post-measures",NULL,"SMD of post scores (with Hedges&#039; correction)",,"Recalculation was challenging because no individual study forest plot exist. From the aggregated results forest plot, it was possible to take a single-study subgroup and determine which study was included. This made it possible to recalculate the ES. The forest plot incorrectly stated it displays MD, while it actually shows SMD.","SN","2025-04-18 14:30:46","2025-04-18 15:03:29","0"
"17","34","change score",NULL,"SMD with post-measure standardization and Hedges&#039; correction","not applicable","none","randomized and non-randomized studies included, ROB-2 for bias assessment","The text does not explicitly say &quot;change-score based&quot;, but it says that ES were calculated from pre- and post-scores using post-score standardization, which implies a change score based method.","Liu et al. 2022 (7 of 19 from Fig 4a)","change score",NULL,"SMD with Hedges&#039; correction and Borenstein variance estimator","not applicable","worked well, but I had to try out the different variance estimators, since the metafor and RevMan defaults did not work.","SN","2025-04-18 17:29:31","2025-04-18 17:46:21","0"
"18","39","change score",NULL,"SMD (Cohen&#039;s d, change-score based with post sd standardization)","none","reference to an earlier MA (Jülich), but this is not helpful, as Jülich has no pre-post design and does not provide details to their ES calculation methods (besides using Cohens&#039; d)","unclear, modified Downs &amp; Blacks scale for quality assessment","the point estimate for the ES is well described, but its unclear how its variance is computed. Typically this would also require a pre-post correlation.","Gorman &amp; Ferron 2009 (9 out of 19 from Fig. 2a)","change score",NULL,"SMD (change-score based with pre-sd standardization without bias correction). Variance calculation unclear, could only nearly reproduce ES point estimate","unclear","okay, difficult. First, because the MA forest plot does not report numbers, so individual study effects have to be extracted from the plot. Second, because all original research I reviewer also did not report numbers, but only figures, so again data has to be extracted from plots.

Overall I tried 3 studies (and skipped another). (1) was Gorman &amp; Ferron, I could not come anywhere close to the ES here. Also there were inconsistencies in the original work. I skipped the next one because the MA states it used two outcomes from it without telling how they were combined. (2) was Smeeton where may have gotten somewhere in the range of the target ES, but couldn&#039;t continue because the original data figure was missing clear information. (3) Murgia, I could get near the target ES using the methods described in the MA text, so given the inaccuracies of two plot extraction processes here, this could maybe be considered a successful reproduction. But I have no idea how the ES CI was calculated.","SN","2025-04-18 18:05:52","2025-04-18 19:44:19","0"
"19","40","change score",NULL,"MD of change scores (and change score sds)","r = 0.975-0.99 depending on the variable and based on the median values of one study that reported correlations","correlation imputation based on reported values in one study and similar to the values in earlier MAs of the same group that used the same procedure","only RCTs includede, ROB-2 for bias assessment","The correlation imputation section was very detailed and well-explained. 0.99 seems very high though. The authors state that they published all data and analysis code, this may make the recalculation easy.","Spillane et al. 2009 (12 out of 12 from Fig 2)","change score",NULL,"MD (not assuming homoscedasticity)","0.975 (in this instance, so exactly as the authors described it)","I could fully reproduce the ES, but only when I multiplied the control group sample size, mean, and sd by 1/2. I think this was done because there are two intervention group for this particular study (though not in the same forest plot) and the MA authors used this to account for potential double-counting). But then one should halve the sample size and definitely not also the mean and sd. This can (and in this instance does) highly bias ES towards exaggerating treatment effects. I found this out by looking at the data sheet the MA authors provided on the OSF, so providing data and code here proved to be extremely helpful. (On another note, the reference number was incorrect in the forest plot)","SN","2025-04-22 09:03:32","2025-04-22 09:56:02","0"
"20","50","unreported",NULL,"SMD (probably RevMan default, but unclear based on which values)",,"none","only RCTs included, ROB-2 for bias assessment","unclear for me if post- or change-score based. I lend towards post, but it is not described anywhere.","Jing et al. 2024 (3 out of 5 from Fig 3a; random number generator selected 2 [Bily et al.] but the Suppl S3 showed that the data was retrieved from author correspondence, so I used the next effect size for recalculation).","post-measures",NULL,"SMD based on post scores (with Hedges&#039; correction and RevMan variance estimator)",,"The study was in Chinese, but I could extract the data and reproduce the ES.","SN","2025-04-22 09:53:24","2025-04-29 14:44:01","0"
"21","49","change score",NULL,"SMD based on change scores and their sds (probably RevMan default)","reference to Behringer, but unclear what exactly","reference to Behringer for imputation. SMD to combine different scales.","RCTs and non-randomized studies included. PEDRO, ROB-2 and ROBINS for bias assessment.","I looked up the Behringer paper that is referenced: &quot;missing SD of changes from the baseline was imputed using a correlation coefficient, in which values from Behringer et al. (4) were used as reference&quot;. I could only find the following section that may be relevant: &quot;elative intraclass correlation coefficient (ICC) and absolute (SEM) test-retest reliability for baseline variables were as follows: MIF (ICC3.1 = 0.81 and SEM = 0.6 kN) and RFD (ICC3.1 = 0.85 and SEM = 2.6 kN$s21)&quot;","Kim et al 2016 (8 out of 8 from Fig 2, originally the random number generator took 7, Ferreira Jr. et al., but I could not retrieve the article so took the next ES).","change score",NULL,"SMD based on change scores and their sd (with Hedges&#039; correction and RevMan default variance estimator)","r = 0.84 for intervention and r = 0.87 for control","I used two other examples to validate the actual imputation method used. I tried to recalculate the imputation values from the referenced Behringer paper, but did not succeed.","SN","2025-04-22 10:40:03","2025-04-22 11:45:01","0"
"22","41","change score",NULL,"SMD of change scores (and their sds)","r = 0.5 if no change score sd was reported","SMD because outcome scales slightly differed. For the correlations, Higgins et al. 2003 is referenced, but the article does not deal with the topic. The two values 0.5 and 0.7 are used with reference to Rosenthal (r=0.7) and Follmann (r=0.5). The MA states that in case they were &quot;similar&quot;, r = 0.5 was chosen for the MA, and from Tab 1 it seems that in fact r = 0.5 was always used.","only RCTs included, PEDRO for bias assessment","The outcome data is in Tab 1, this should ease the recalculation","Jendricke et al. 2019 (2 out of 8 from Fig 2)","change score",NULL,"SMD of change scores (and change score sds), with Hedges&#039; correction, classic variance estimator","unclear","I could not exactly match the extracted numbers underlying the ES, probably because the MA authors had access to the raw data (from the same research group) and took values without rounding. When taking these values, I could reproduce the ES. (I also checked for another study that values were correctly extracted). I did not check the correlation imputation, as it was not necessary for the studies I looked at. The MA states it was actually only necessary for one study, but its Table 1 suggests that imputation was done for 3 studies. I looked at them but the data extraction seems non-trivial, so I did not formally test the imputation procedure. Also, the reference number in the forest plot was incorrect.","SN","2025-04-22 13:43:01","2025-04-22 14:57:43","0"
"23","47","unreported",NULL,"SMD, but unclear based on what (the abstract and Fig 3 reads as if it is change-score based, but no confirmation in the text)",,"none","randomized and non-randomized trials included, PEDRO for bias assessment","not much documented here in the text","Boff et al. 2019 (2 out of 3 from Fig 3a, because Fig 2 only deals with within-group changes)","change score",NULL,"SMD based on change-scores (and change score sd) with Hedges&#039; correction. Also variance estimator by Borenstein &amp; Hedges 2019 and t-distribution based CIs.","r = 0","I could fully reproduce the ES and CI but also after some digging and contacting the author of MedCalc. The software uses the vartype=2 estimator and t-distribution based CIs, which is both rather uncommon and undocumented in the software and also in this article.
Also, I tried to reproduce the imputation method, but only the third study tried (Alarcon-Gomez) did not report change score sd and thus needed imputation. The reproduced imputation (r=0) was noteworthy!","SN","2025-04-22 14:57:09","2025-04-22 18:07:14","0"
"24","43","unclear",NULL,"MD, but unclear based on what, maybe change score",,"none","only RCTs included","this is an umbrella review, but has a dedicated MA of RCTs. The effect size calculation method is very confusing: &quot;The absolute change in mean difference and standard deviation
of the outcome value from postintervention between groups (interval training versus MICT/CON) in each study was calculated&quot;. This could be both change-score based or post-score based. Maybe also change score with post score sd standardization?","Ballin et al. 2019 (18 out of 35 from Fig. 3)","post-measures",NULL,"MD (variance homogeneity is unclear, because sample sized were equal in the example)",,"straightforward, but I find the caption of the forest plot misleading, as it states &quot;body fat percent reduction&quot;","SN","2025-04-22 16:00:56","2025-04-22 16:13:40","0"
"25","42","unclear",NULL,,"n/a",,,"This study does not formally have a group comparison. Analyses are performed within groups, including studies that had no comparison group. So the research design may not fully correspond to what we are looking for. There are two possible ways to deal with this: 
(1) exclude the study because it does not exactly match the design we are looking for
(2) include the study because the abstract suggests a design that does match our criteria and only the analysis method was not corresponding and should be treated as a special case.",,NULL,NULL,,,,"SN","2025-04-22 16:21:24","2025-04-28 16:39:14","0"
"26","45","unclear",NULL,"SMD (but unclear based on what, maybe post score)",,"none","unclear, modified own scale for quality assessment","The methods section presents an SMD formula that is very basic. An interesting find is that the CIs are reportedly based on a t-distribution (instead of the typical z-distribution)","Berton et al 2022 (3 out of 24 from Fig 2)","unclear",NULL,"unclear",,"Frankly, I have no idea how the ES were calculated. The confidence intervals seem way to small. I tried change-score and post score based methods for three examples. Post-score seems more promising to me, but again I could not recalculate the ES.","SN","2025-04-22 16:27:38","2025-04-22 18:00:18","0"
"27","32","unclear",NULL,"SMD (Hedges&#039; g), more details are available in Sup. 9. Unclear if change or post-score based, but definitely a form of within group analysis (due to the crossover design). Imputation is based on average correlations for the same outcome, or if not available r = 0.5.",,"imputation based on previous published (and unpublished) data, link to Cochrane handbook for ES calculation","only RCTs included, ROB-2 for bias assessment","Suppl S9 is very detailed. The procedures follow the standard for crossover (so within group analysis), but some formula are confusing. For example the hedges ES is actually not corrected, but simple Cohen&#039;s d. 
The analyzed studies are cross-over trial, which influences the choice of ES method.
The study has published raw data and code, which should help during the recalculation.","Carter et al. 2018 (1 out of 7 from Fig S1), condition 2x8min","post-measures",NULL,"SMD based on within-group comparisons (with [possibly incorrect] bias corrected variance but not ES). Correlation imputation based on average values for all included studies (though study level results were available).",,"Using the published data and code I could recalculate the ES with CI (otherwise it would be challenging even with the detailed Sup S9). Some things were noteworthy:
1. The MA uses imputed mean correlations for calculating the study level effect size, even if the study has correlation data available
2. within-condition pre-post correlations are computed, but in the analysis they are treated as between-condition post correlations.
3. There was a small data extraction error for the SD_change, extracting 1.6 instead of 1.8. This changed the imputed correlation, but had no impact on the result, because:
4. There was an error in the Excel reference for the recalculated study, using the mean correlation for the wrong outcome measure for the variance calculation (for &#039;Cerebrovascular conductance&#039; instead of &#039;Cerebral blood flow velocity&#039;, which is 0.69 instead of 0.72)
5. For the ES point estimate, the data sheet and MA report to use Hedges&#039; g, but it is incorrectly calculated as a simple SMD without correction using the pooled sd as standardizer. So in fact this is Cohen&#039;s d and for equal n the exact same value as the ES the data sheet reports as uncorrected (which uses average sd instead of pooled sd)
6. Also the correction procedure for the ES variance does not match the ES variance calculation. The variance calculation assumes a repeated measure design (so df=n-1), but the correction formula uses df=n1+n2-2).

So there are a lot of small issues going on here. And most of them could only be identified because the raw data and code was available.

I tried to recalculate the study level effect size by using the correct (mean) study correlation and fully using the appropriate Hedges&#039; correction (so in fact trying to fix the points (1,3,5,6) above:
old ES: 0.32 [-0.08, 0.71]
new ES: 0.29 [-0.10, 0.70]

So in this particular single-study case, it does not make a substantial difference.","SN","2025-04-22 18:40:22","2025-04-28 16:28:41","0"
"28","28","unclear",NULL,"MD, possibly a combination of post- and change-score: &quot;we extracted means and
SDs of postintervention measurement or change-from-baseline outcomes value&quot;",,"none","only RCTs included, ROB-2 for bias assessment","This is a network-MA, so there are no direct group comparisons for recalculation. Also, the design may not be perfectly suitable for out research question. So we have to consider (maybe after looking at other network-MA) if we included this without recalculation possible, or if we completely exclude it from the analysis.",,NULL,NULL,,,"Network-MA, so recalculation of individual study ES is not possible","SN","2025-04-23 09:27:41","2025-04-23 09:50:00","0"
"29","36","change score",NULL,"SMD of change score with raw score standardization (Morris)","informative Gaussian prior centered at r = 0.85 : &quot;Therefore, primary data obtained
from relevant studies (including those produced in the laboratories of the study team) were used to develop informative priors to model within study variances (Gaussian prior centred at r = 0.85 and range from approximately 0.70–0.99)&quot;","reference to Morris","only RCTs included, ROB-2 for bias assessment","It&#039;s unclear which of the Morris types was used. Also if the priors for r were only part of the variance estimation in the Bayesian MA, or also for the (non-MA) ES calculation for all studies. ES are shown as distributions under a Bayesian framework, so it is not possible to recalculate, since also no code and data for individual study ES is presented.",,NULL,NULL,,,"Bayesian MA, so individual ES recalculation is not possible here.","SN","2025-04-23 09:48:57","2025-04-23 09:48:57","0"
"30","29","change score",NULL,"SMD based on change scores","unclear","none","(cluster) RCTs and quasi-experimental studies included, ROB-2 for bias assessment","We here only deal with the continuous outcome MA, not with the incidence of concussions. There is no phrase that explicitly states &quot;the ES is change score based&quot;, but from the methods section this is very obvious.","Attwood et al. 2022 (1 out of 20 from Fig 2)","change score",NULL,"SMD (Hedges&#039; g based on change scores and their sd, RevMan variance estimator)","unclear","Difficult one. By taking the mean and sd values from the forest plot I could fully reproduce the ES + CI. But I could not reproduce the mean and sd in the forest plot. This may be in part because a composite score of different variables has to be calculated for this. But I tried a lot (for two studies) and could barely recalculate one mean values (from 4) and no SD. So I could also not determine the imputation method.","SN","2025-04-23 09:59:30","2025-04-23 12:10:12","0"
"31","22","change score",NULL,"SMD based on change scores","r = 0.5","reference to Follmann 1992 for imputation","only RCTs included, ROB-2 for bias assessment","seems like most included trials are crossover-RCTs. Change-score based is not totally clear here, but it reads like &quot;changes in gene expression&quot; were compared.","Hammond et al. 2019 (4 out of 12 from Fig 3A)","unclear",NULL,"unclear",,"I could not reproduce the effect sizes. This may be because I had to extract data from plots, which comes with some uncertainties. I tried to studies but could not match the ES, and as no more data or methods are given in the article (e.g., no study level summary measure) it is hard to determine if the data extraction or the effect size calculation is the problem. In other words, it is not possible for me to recalculate the ES.","SN","2025-04-23 12:19:28","2025-04-23 13:49:49","0"
"32","21","post-measures",NULL,"Unclear, possibly MD. But surely post-measure based.",,"none","only RCTs included, ROB(-1) for bias assessment","recalculation may be challenging, because the article text and supplemental material does not present forest plots showing individual studies. However Table S1 shows the results of pairwise comparisons and some of them are n=1.
The text says mean difference, but also uses Cohen for ES classification, which is only suitable for SMDs.","Banitalebi et al. 2019 (10 out of 13 in Tab S1, counting all n=1 cases from top to bottom, then figuring out the only matching study of interest). The random number generator said 12 before, which was also Banitalebi, but contrary to the MA Tab 3 they did","post-measures",NULL,"MD of post scores",,"determining the target ES was challenging because I had to infer individual ES from aggregated forest plots and also there may be some problems in the categorization of studies in the MA.","SN","2025-04-24 18:57:45","2025-04-24 19:54:10","0"
"33","19","change score",NULL,"not applicable","not applicable","na","only RCTs included, ROB-2 for bias assessment","This is a pharmacodynamic model-based MA. I would say, the design matches the inclusion criteria, but the analysis method does not.",,NULL,NULL,,,,"SN","2025-04-25 15:28:12","2025-04-25 15:28:12","0"
"34","35","change score",NULL,"na","na","na","only RCTs included, ROB(-1) for bias assessment","This MA deals with the variability of effects, not with the effects themselves. So the design matches the inclusion criteria, but the analysis does not.",,NULL,NULL,,,,"SN","2025-04-25 15:33:25","2025-04-25 15:37:26","0"
"35","51","change score",NULL,"MD based on change scores and their sd","unreported","none","only RCTs included, ROB(-1) for bias assessment",,"Li et al. 2020 (19 out of 27 from Fig. 3a, random number generator said 16, but this and the following studies could not be retrieved)","change score",NULL,"MD based on change scores and their sd","r = 0.5","I had troubles retrieving the original research studies underlying the MA. The first I could retrieve had raw data available, from which I could calculate the group means in the forest plot, but not the group sds. So there may be a data extraction error. Using the means and sds from the forest plot I could reproduce the ES. For the second study I could receive I had another issue, as I could match the mean and sd of the intervention but not the control group (so maybe another extraction error). For the third study everything worked, when imputing a pre-post correlation of r = 0.5.","SN","2025-04-28 16:59:45","2025-04-30 13:50:05","0"
"36","52","unreported",NULL,"SMD",,"none","only randomized studies included, RoB-2 for bias assessment","It is not clear to me how the ES for the group comparison are constructed. The MA also includes within group analyses, but these are not of interest for us.","Yoshimoto et al. 2016 (18 out of 22 from Fig 4)","change score",NULL,"SMD (Hedges&#039; g) based on change scores and their SD (RevMan default for variance estimation)","unclear","I could not determine the imputation procedure. Using the means and sds from the forest plot, I could recalculate the ES and its CI.","SN","2025-05-05 11:49:16","2025-05-05 12:51:52","0"
"37","53","unreported",NULL,"SMD",,"SMD (instead of MD) because studies used different measurement scales","only RCTs included, PEDRO for bias assessment","Recalculation may be challenging, because individual study effect sized have to be extracted from the forest plot","Stergioulas et al. 2008 (2 out of 5 from Fig. 2)","unclear",NULL,"unclear",,"I could not recalculate the ES, because of a lack of available information. Study-level ES and their CI are only visually presented in a forest plot without any further information. I tried different studies, but often the recalculation was additionally complicated because it was unclear which time point and outcome measure was used for the MA.","SN","2025-05-05 12:37:08","2025-05-05 16:10:17","0"
"38","55","unreported",NULL,"SMD",,"none","RCTs and CTs included, PEDro for bias assessment","I could not locate any detailed information on the effect size calculation procedure.","Sermaxhaj et al. 2021 (75 out of 85 from Fig. 3)","unclear",NULL,"unclear",,"Might be only within groups, might be change score based. I reproduced one ES estimate by using a SMD of change scores standardized by pre-sds, but the same method did not work for the other cases, so it might have been by chance. The numbers for the CIs are not given in the forest plots and the quality is too low to extract them from the visual elements. But an earlier MA of the same group used the same ES and provided z-values, which could be back-calculated to SEs and thus CIs. I tried this for the one ES where I got a match for the point estimate, but could not reproduce the CI. Overall I can&#039;t tell what methods the MA use to determine the ES.","SN","2025-05-05 16:16:54","2025-05-15 12:19:33","0"
