"id","study_id","user","comments","submitted_date","last_updated","type","exclusion_reason","exclusion"
"53","53","SN","Not really clear if this is an exercise intervention","2025-02-14 16:43:32","2025-02-14 16:43:32","abstract",NULL,"0"
"54","54","SN","Only correlations instead of group comparison","2025-02-17 10:22:06","2025-02-17 10:24:29","abstract","No group comparison","1"
"55","55","SN",,"2025-02-17 10:22:31","2025-02-17 10:22:31","abstract",NULL,"0"
"56","56","SN",,"2025-02-17 10:23:05","2025-02-17 10:23:05","abstract",NULL,"0"
"57","57","SN","Only baseline data is used for interventions","2025-02-17 10:23:30","2025-02-17 10:24:06","abstract","No pre-post design","1"
"58","58","SN",,"2025-02-17 10:23:43","2025-02-17 10:23:43","abstract",NULL,"0"
"59","59","SN","Only one time point of measurement","2025-02-17 10:25:18","2025-02-17 10:25:18","abstract","No pre-post design","1"
"60","60","SN","may not be the right design, but SMDs are mentioned in the abstract. Need full text for more details","2025-02-17 10:26:14","2025-02-17 10:26:14","abstract",NULL,"0"
"61","61","SN",,"2025-02-17 10:26:30","2025-02-17 10:26:30","abstract",NULL,"0"
"62","62","SN",,"2025-02-17 10:26:42","2025-02-17 10:26:42","abstract",NULL,"0"
"63","63","SN",,"2025-02-17 10:27:03","2025-02-17 10:27:03","abstract",NULL,"0"
"64","64","SN",,"2025-02-17 10:27:19","2025-02-17 10:27:19","abstract",NULL,"0"
"65","65","SN",,"2025-02-17 10:27:46","2025-02-17 10:27:46","abstract",NULL,"0"
"66","66","SN","unclear, full text needed","2025-02-17 10:28:24","2025-02-17 10:28:24","abstract",NULL,"0"
"67","67","SN","Gruop comparison of injury risks, but no intervention","2025-02-17 10:29:12","2025-02-17 10:29:12","abstract","No pre-post design","1"
"68","68","SN",,"2025-02-17 10:29:23","2025-02-17 10:29:23","abstract",NULL,"0"
"69","69","SN","injury prevalence, no intervention","2025-02-17 10:29:47","2025-02-17 10:29:47","abstract","No pre-post design","1"
"70","70","SN",,"2025-02-17 10:30:17","2025-02-17 10:30:17","abstract","No group comparison","1"
"71","71","SN","Group comparisons, but no intervention","2025-02-17 10:31:01","2025-02-17 10:31:01","abstract","No pre-post design","1"
"72","72","SN",,"2025-02-17 10:31:39","2025-02-17 10:31:39","abstract","No group comparison","1"
"73","73","SN","can be discussed if massage is an exercise intervention","2025-02-17 10:32:21","2025-02-17 10:32:21","abstract",NULL,"0"
"74","74","SN",,"2025-02-17 10:32:39","2025-02-17 10:32:39","abstract","No group comparison","1"
"75","75","SN",,"2025-02-17 10:33:02","2025-02-17 10:33:02","abstract",NULL,"0"
"76","76","SN","nutritional intervention but no exercise","2025-02-17 10:34:32","2025-02-17 10:34:32","abstract","No exercise intervention","1"
"77","77","SN","might be no continuous outcomes","2025-02-17 10:35:54","2025-02-17 10:35:54","abstract",NULL,"0"
"78","78","SN","Not really exercise interventions, but other interventions for exercise performance","2025-02-17 10:36:44","2025-02-17 10:36:44","abstract",NULL,"0"
"79","79","SN",,"2025-02-17 10:37:06","2025-02-17 10:37:06","abstract",NULL,"0"
"80","80","SN",,"2025-02-17 10:37:31","2025-02-17 10:37:31","abstract",NULL,"0"
"81","81","SN",,"2025-02-17 10:37:45","2025-02-17 10:37:45","abstract","No pre-post design","1"
"82","82","SN",,"2025-02-17 10:38:26","2025-02-17 10:38:26","abstract",NULL,"0"
"83","83","SN",,"2025-02-17 10:38:48","2025-02-17 10:38:48","abstract",NULL,"0"
"84","84","SN",,"2025-02-17 10:39:17","2025-02-17 10:39:17","abstract","No group comparison","1"
"85","85","SN","different designs used","2025-02-17 10:39:59","2025-02-17 10:39:59","abstract",NULL,"0"
"86","86","SN",,"2025-02-17 10:40:33","2025-02-17 10:40:33","abstract",NULL,"0"
"87","87","SN",,"2025-02-17 10:40:50","2025-02-17 10:40:50","abstract",NULL,"0"
"88","88","SN","No control group","2025-02-17 10:41:23","2025-02-17 10:41:23","abstract","No group comparison","1"
"89","89","SN","design unclear (maybe crossover only), maybe more nutrition than exercise intervention, need full text","2025-02-17 10:42:48","2025-02-17 10:42:48","abstract",NULL,"0"
"90","90","SN",,"2025-02-17 10:43:06","2025-02-17 10:43:06","abstract",NULL,"0"
"91","91","SN",,"2025-02-17 10:43:36","2025-02-17 10:43:36","abstract","No pre-post design","1"
"92","92","SN",,"2025-02-17 10:43:57","2025-02-17 10:43:57","abstract",NULL,"0"
"93","93","SN",,"2025-02-17 10:44:35","2025-02-17 10:44:35","abstract","No pre-post design","1"
"94","94","SN",,"2025-02-17 10:45:16","2025-02-17 10:45:16","abstract","No pre-post design","1"
"95","95","SN",,"2025-02-17 10:45:53","2025-02-17 10:45:53","abstract",NULL,"0"
"96","96","SN","unclear design","2025-02-17 10:46:36","2025-02-17 10:46:36","abstract",NULL,"0"
"97","97","SN",,"2025-02-17 10:46:50","2025-02-17 10:46:50","abstract",NULL,"0"
"98","98","SN","unclear design, maybe not really an exercise intervention","2025-02-17 10:47:38","2025-02-17 10:47:38","abstract",NULL,"0"
"99","99","SN",,"2025-02-17 10:48:02","2025-02-17 10:48:02","abstract","No pre-post design","1"
"100","100","SN",,"2025-02-17 10:48:47","2025-02-17 10:48:47","abstract","No pre-post design","1"
"101","101","SN",,"2025-02-17 10:49:16","2025-02-17 10:49:16","abstract",NULL,"0"
"102","102","SN",,"2025-02-17 10:49:45","2025-02-17 10:49:45","abstract",NULL,"0"
"103","103","SN","maybe not pre-post","2025-02-17 10:50:24","2025-02-17 10:50:24","abstract",NULL,"0"
"104","104","SN",,"2025-02-17 10:50:50","2025-02-17 10:50:50","abstract",NULL,"0"
"105","105","SN","Rather psychological intervention for exercise performance","2025-02-17 10:52:11","2025-02-17 10:52:11","abstract",NULL,"0"
"106","106","SN","pre-post design unclear","2025-02-17 11:23:10","2025-02-17 11:23:10","abstract",NULL,"0"
"107","107","SN",,"2025-02-17 11:23:44","2025-02-17 11:23:44","abstract",NULL,"0"
"108","108","SN",,"2025-02-17 11:24:15","2025-02-17 11:24:15","abstract","No group comparison","1"
"109","109","SN",,"2025-02-17 11:24:56","2025-02-17 11:24:56","abstract",NULL,"0"
"110","110","SN","unclear design, not really an exercise intervention","2025-02-17 11:25:42","2025-02-17 11:25:42","abstract",NULL,"0"
"111","111","SN",,"2025-02-17 11:26:35","2025-02-17 11:26:35","abstract",NULL,"0"
"112","112","SN",,"2025-02-17 11:27:01","2025-02-17 11:27:01","abstract","No group comparison","1"
"113","113","SN",,"2025-02-17 11:27:16","2025-02-17 11:27:16","abstract",NULL,"0"
"114","114","SN","unclear if actual group comparison for intervention studies","2025-02-17 11:28:19","2025-02-17 11:28:19","abstract",NULL,"0"
"115","115","SN",,"2025-02-17 11:29:19","2025-02-17 11:29:19","abstract","No pre-post design","1"
"116","116","SN","This is a review of meta-analyses, but not a meta-analysis itself","2025-02-17 11:30:08","2025-02-17 11:30:08","abstract","No meta-analysis","1"
"117","117","SN",,"2025-02-17 12:07:56","2025-02-17 12:07:56","abstract",NULL,"0"
"118","118","SN","maybe more nutrition than exercise intervention","2025-02-17 12:08:54","2025-02-17 12:08:54","abstract",NULL,"0"
"119","119","SN","unclear if pre-post design or just simple cross-over","2025-02-17 12:11:20","2025-02-17 12:11:20","abstract",NULL,"0"
"120","120","SN","maybe no actual group comparison, but only without group changes. Needs full text to verify","2025-02-17 12:12:21","2025-02-17 12:12:21","abstract",NULL,"0"
"121","121","SN","This is not a group comparison of means but of variances","2025-02-17 12:13:19","2025-02-17 12:13:19","abstract","No group comparison","1"
"122","122","SN",,"2025-02-17 12:13:37","2025-02-17 12:13:37","abstract",NULL,"0"
"123","123","SN","unclear design","2025-02-17 12:14:15","2025-02-17 12:14:15","abstract",NULL,"0"
"124","124","SN",,"2025-02-17 12:14:53","2025-02-17 12:14:53","abstract","No group comparison","1"
"125","125","SN","Not really clear if this is an exercise intervention","2025-02-17 12:15:59","2025-02-17 12:15:59","abstract",NULL,"0"
"126","126","SN",,"2025-02-17 12:16:37","2025-02-17 12:16:37","abstract",NULL,"0"
"127","127","SN",,"2025-02-17 12:16:51","2025-02-17 12:16:51","abstract","No group comparison","1"
"128","128","SN",,"2025-02-17 12:17:41","2025-02-17 12:17:41","abstract",NULL,"0"
"129","129","SN",,"2025-02-17 12:18:13","2025-02-17 12:18:13","abstract",NULL,"0"
"130","130","SN",,"2025-02-17 12:18:42","2025-02-17 12:18:42","abstract","No group comparison","1"
"131","131","SN",,"2025-02-17 12:19:12","2025-02-17 12:19:12","abstract",NULL,"0"
"132","132","SN","unclear if pre-post","2025-02-17 12:20:02","2025-02-17 12:20:02","abstract",NULL,"0"
"133","133","SN",,"2025-02-17 12:20:46","2025-02-17 12:20:46","abstract","No pre-post design","1"
"134","134","SN",,"2025-02-17 12:21:29","2025-02-17 12:21:29","abstract",NULL,"0"
"135","135","SN","does not seem to be pre-post (only includes single time point)","2025-02-17 12:22:57","2025-02-17 12:22:57","abstract","No pre-post design","1"
"136","136","SN",,"2025-02-17 12:23:27","2025-02-17 12:23:27","abstract",NULL,"0"
"137","137","SN","unclear if pre-post, rather a feedback intervention during exercise than exercise","2025-02-17 12:24:33","2025-02-17 12:24:33","abstract",NULL,"0"
"138","138","SN",,"2025-02-17 12:24:59","2025-02-17 12:24:59","abstract","No pre-post design","1"
"139","139","SN",,"2025-02-17 12:25:17","2025-02-17 12:25:17","abstract",NULL,"0"
"140","140","SN",,"2025-02-17 12:25:49","2025-02-17 12:25:49","abstract",NULL,"0"
"141","141","SN","unclear design","2025-02-17 12:26:27","2025-02-17 12:26:27","abstract",NULL,"0"
"142","142","SN",,"2025-02-17 12:26:49","2025-02-17 12:26:49","abstract","No pre-post design","1"
"143","143","SN",,"2025-02-17 12:27:08","2025-02-17 12:27:08","abstract","No group comparison","1"
"144","144","SN","unclear design","2025-02-17 12:28:30","2025-02-17 12:28:30","abstract",NULL,"0"
"145","145","SN",,"2025-02-17 12:28:42","2025-02-17 12:28:42","abstract",NULL,"0"
"146","146","SN",,"2025-02-17 12:29:46","2025-02-17 12:29:46","abstract","No pre-post design","1"
"147","147","SN","seem to be only within-group changes","2025-02-17 12:30:38","2025-02-17 12:30:38","abstract","No group comparison","1"
"148","148","SN",,"2025-02-17 12:30:46","2025-02-17 12:30:46","abstract",NULL,"0"
"149","149","SN",,"2025-02-17 12:31:04","2025-02-17 12:31:04","abstract",NULL,"0"
"150","150","SN",,"2025-02-17 12:31:31","2025-02-17 12:31:31","abstract","No pre-post design","1"
"151","151","SN","unclear if this is a group comparison and a pre-post design, need fulltext","2025-02-17 12:32:25","2025-02-17 12:32:25","abstract",NULL,"0"
"152","152","SN",,"2025-02-17 12:33:03","2025-02-17 12:33:03","abstract",NULL,"0"
"153","153","SN",,"2025-02-17 12:33:26","2025-02-17 12:33:26","abstract",NULL,"0"
"154","154","SN",,"2025-02-17 12:34:00","2025-02-17 12:34:00","abstract","No pre-post design","1"
"155","155","SN",,"2025-02-17 12:34:39","2025-02-17 12:34:39","abstract","No group comparison","1"
"156","156","SN","does not seem to have any intervention with pre/post measures","2025-02-17 12:35:36","2025-02-17 12:35:36","abstract","No pre-post design","1"
"157","157","SN",,"2025-02-17 12:36:07","2025-02-17 12:36:07","abstract",NULL,"0"
"158","158","SN","the abstract states that both within and between group comparisons were performed, but it is unclear whether they were combined","2025-02-17 12:37:15","2025-02-17 12:37:15","abstract",NULL,"0"
"159","159","SN",,"2025-02-17 12:37:34","2025-02-17 12:37:34","abstract",NULL,"0"
"160","160","SN",,"2025-02-17 12:37:55","2025-02-17 12:37:55","abstract",NULL,"0"
"161","1","TS",,"2025-02-17 13:25:17","2025-02-17 13:25:17","abstract",NULL,"0"
"162","2","TS",,"2025-02-17 13:28:39","2025-02-17 13:28:39","abstract","No group comparison","1"
"163","3","TS",,"2025-02-17 14:33:41","2025-02-17 14:33:41","abstract","No group comparison","1"
"164","161","SN","unclear design, maybe not really an exercise intervention","2025-02-18 11:38:24","2025-02-18 11:38:24","abstract",NULL,"0"
"165","162","SN",,"2025-02-18 11:39:00","2025-02-18 11:39:00","abstract","No pre-post design","1"
"166","163","SN",,"2025-02-18 11:39:32","2025-02-18 11:39:32","abstract",NULL,"0"
"167","164","SN","unclear if design fits, maybe not really an exercise intervention","2025-02-18 11:40:39","2025-02-18 11:40:39","abstract",NULL,"0"
"168","165","SN",,"2025-02-18 11:45:02","2025-02-18 11:45:02","abstract",NULL,"0"
"169","166","SN",,"2025-02-18 11:46:15","2025-02-18 11:46:15","abstract","No exercise intervention","1"
"170","167","SN",,"2025-02-18 11:56:37","2025-02-18 11:56:37","abstract","No pre-post design","1"
"171","168","SN",,"2025-02-18 11:57:05","2025-02-18 11:57:25","abstract","No pre-post design","1"
"172","169","SN","It does not sound like there was any baseline measurement of injury risk","2025-02-18 11:59:27","2025-02-18 11:59:27","abstract","No pre-post design","1"
"173","170","SN",,"2025-02-18 12:00:04","2025-02-18 12:00:04","abstract",NULL,"0"
"174","171","SN",,"2025-02-18 12:00:46","2025-02-18 12:00:46","abstract","No pre-post design","1"
"175","172","SN",,"2025-02-18 12:17:38","2025-02-18 12:17:38","abstract",NULL,"0"
"176","173","SN",,"2025-02-18 12:19:01","2025-02-18 12:19:01","abstract","No group comparison","1"
"177","174","SN","pre-post meals, but not a typical pre-post design","2025-02-18 12:20:22","2025-02-18 12:20:22","abstract","No pre-post design","1"
"178","175","SN","I don&#039;t think the design is fitting","2025-02-18 12:22:16","2025-02-18 12:22:16","abstract","No pre-post design","1"
"179","176","SN",,"2025-02-18 12:22:52","2025-02-18 12:22:52","abstract","No group comparison","1"
"180","177","SN",,"2025-02-18 12:25:22","2025-02-18 12:25:22","abstract",NULL,"0"
"181","178","SN","Seems like an acute intervention without a true pre measurement","2025-02-18 12:26:22","2025-02-18 12:26:22","abstract","No pre-post design","1"
"182","179","SN",,"2025-02-18 12:26:39","2025-02-18 12:26:39","abstract",NULL,"0"
"183","180","SN",,"2025-02-18 12:27:24","2025-02-18 12:27:24","abstract",NULL,"0"
"184","181","SN","maybe no control group","2025-02-18 12:28:50","2025-02-18 12:28:50","abstract",NULL,"0"
"185","182","SN",,"2025-02-18 12:29:30","2025-02-18 12:29:30","abstract",NULL,"0"
"186","4","TS",,"2025-02-18 14:21:23","2025-02-18 14:21:23","abstract","No group comparison","1"
"187","5","TS",,"2025-02-18 14:30:18","2025-02-18 14:30:18","abstract",NULL,"0"
"188","6","TS","Is this a &quot;exercise&quot; Intervention?","2025-02-18 14:37:50","2025-02-18 14:37:50","abstract",NULL,"0"
"189","7","TS",,"2025-02-18 14:40:42","2025-02-18 14:40:42","abstract",NULL,"0"
"190","8","TS",,"2025-02-18 14:57:37","2025-02-18 14:57:37","abstract","No group comparison","1"
"191","9","TS",,"2025-02-18 14:59:24","2025-02-18 14:59:24","abstract",NULL,"0"
"192","183","SN","unclear design","2025-02-18 15:47:58","2025-02-18 15:47:58","abstract",NULL,"0"
"193","184","SN",,"2025-02-18 15:48:33","2025-02-18 15:48:33","abstract",NULL,"0"
"194","185","SN",,"2025-02-18 15:49:09","2025-02-18 15:49:09","abstract","No pre-post design","1"
"195","186","SN",,"2025-02-18 15:49:33","2025-02-18 15:49:33","abstract",NULL,"0"
"196","187","SN",,"2025-02-18 15:50:05","2025-02-18 15:50:05","abstract","No pre-post design","1"
"197","188","SN",,"2025-02-18 15:50:32","2025-02-18 15:50:32","abstract","No group comparison","1"
"198","189","SN","may be no pre-post design","2025-02-18 15:51:23","2025-02-18 15:51:23","abstract",NULL,"0"
"199","190","SN",,"2025-02-18 15:51:39","2025-02-18 15:51:39","abstract",NULL,"0"
"200","191","SN",,"2025-02-18 15:51:56","2025-02-18 15:51:56","abstract","No pre-post design","1"
"201","192","SN","design may be incompatible, as the main comparison is specific vs unspecific changes instead of treatment vs control changes. From a theoretical perspective this should not be an issue, but the abstract reads as if only within group comparisons were made","2025-02-18 15:53:58","2025-02-18 15:53:58","abstract",NULL,"0"
"202","193","SN",,"2025-02-18 15:54:11","2025-02-18 15:54:11","abstract",NULL,"0"
"203","194","SN",,"2025-02-18 15:54:55","2025-02-18 15:54:55","abstract","No pre-post design","1"
"204","195","SN",,"2025-02-18 15:55:48","2025-02-18 15:55:48","abstract","No group comparison","1"
"205","196","SN","Design is unclear and seems to be an acute pharmocological intervention instead of exercise","2025-02-18 15:58:53","2025-02-18 15:58:53","abstract",NULL,"0"
"206","197","SN",,"2025-02-18 15:59:20","2025-02-18 15:59:20","abstract",NULL,"0"
"207","198","SN",,"2025-02-18 15:59:58","2025-02-18 15:59:58","abstract",NULL,"0"
"208","199","SN",,"2025-02-18 16:00:53","2025-02-18 16:00:53","abstract","No pre-post design","1"
"209","200","SN",,"2025-02-18 16:01:35","2025-02-18 16:01:35","abstract",NULL,"0"
"210","201","SN","may not really be an exercise intervention","2025-02-18 16:02:01","2025-02-18 16:02:01","abstract",NULL,"0"
"211","202","SN",,"2025-02-18 16:03:30","2025-02-18 16:03:30","abstract",NULL,"0"
"212","203","SN","unclear if design fits","2025-02-18 16:04:32","2025-02-18 16:04:32","abstract",NULL,"0"
"213","204","SN",,"2025-02-18 16:04:45","2025-02-18 16:04:45","abstract",NULL,"0"
"214","205","SN","unclear if pre-post","2025-02-18 16:05:22","2025-02-18 16:05:22","abstract",NULL,"0"
"215","206","SN",,"2025-02-18 16:05:50","2025-02-18 16:05:50","abstract","No pre-post design","1"
"216","207","SN",,"2025-02-18 16:06:16","2025-02-18 16:06:16","abstract","No pre-post design","1"
"217","208","SN","unclear if group comparison","2025-02-18 16:06:59","2025-02-18 16:06:59","abstract",NULL,"0"
"218","209","SN",,"2025-02-18 16:07:55","2025-02-18 16:07:55","abstract",NULL,"0"
"219","1","SN","forest plots are in the supplementary materials","2025-02-18 16:15:17","2025-02-18 16:15:17","fulltext",NULL,"0"
"220","5","SN",,"2025-02-18 16:16:38","2025-02-18 16:16:38","fulltext",NULL,"0"
"221","6","SN",,"2025-02-18 16:22:00","2025-02-18 16:22:00","fulltext",NULL,"0"
"222","7","SN",,"2025-02-18 16:24:34","2025-02-18 16:24:34","fulltext",NULL,"0"
"223","9","SN",,"2025-02-18 16:26:37","2025-02-18 16:26:37","fulltext",NULL,"0"
"224","10","TS",,"2025-02-20 09:25:12","2025-02-20 09:25:12","abstract",NULL,"0"
"225","11","TS",,"2025-02-20 09:26:22","2025-02-20 09:26:22","abstract","No pre-post design","1"
"226","12","TS","prospective study","2025-02-20 09:28:29","2025-02-20 09:28:29","abstract","No pre-post design","1"
"227","13","TS",,"2025-02-20 09:29:51","2025-02-20 09:29:51","abstract",NULL,"0"
"228","14","TS",,"2025-02-20 09:31:52","2025-02-20 09:31:52","abstract","No pre-post design","1"
"229","15","TS",,"2025-02-20 09:34:10","2025-02-20 09:34:10","abstract","No group comparison","1"
"230","16","TS","pre-post design ?","2025-02-20 09:36:10","2025-02-20 09:36:10","abstract",NULL,"0"
"231","17","TS",,"2025-02-20 09:36:50","2025-02-20 09:36:50","abstract","No pre-post design","1"
"232","18","TS",,"2025-02-20 09:38:10","2025-02-20 09:38:10","abstract",NULL,"0"
"233","19","TS",,"2025-02-20 09:39:46","2025-02-20 09:39:46","abstract",NULL,"0"
"234","20","TS",,"2025-02-20 09:41:10","2025-02-20 09:41:10","abstract",NULL,"0"
"235","10","SN","Fits the inclusion criteria. But it seems we will not be able to use the study to answer our research question, as a different statistical approach was taken (Bayesian one-stage IPD analysis).","2025-02-20 10:22:28","2025-02-20 10:22:28","fulltext",NULL,"0"
"236","13","SN","maybe rather a dietary intervention for exercise than an exercise intervention","2025-02-20 10:26:07","2025-02-20 10:26:45","fulltext",NULL,"0"
"237","18","SN",,"2025-02-20 10:30:25","2025-02-20 10:30:25","fulltext",NULL,"0"
"238","19","SN","Matches inclusion criteria, but may be challenging to analyse, because it is a model-based meta-analysis","2025-02-20 10:32:49","2025-02-20 10:32:49","fulltext",NULL,"0"
"239","21","TS",,"2025-02-21 09:04:32","2025-02-21 09:04:32","abstract",NULL,"0"
"240","22","TS",,"2025-02-21 09:40:08","2025-02-21 09:40:08","abstract",NULL,"0"
"241","23","TS",,"2025-02-21 09:52:15","2025-02-21 09:52:15","abstract",NULL,"0"
"242","24","TS",,"2025-02-21 10:31:22","2025-02-21 10:31:22","abstract",NULL,"0"
"243","25","TS","Is it a Pre- Post- Design?","2025-02-21 10:39:46","2025-02-21 10:39:46","abstract",NULL,"0"
"244","26","TS",,"2025-02-21 10:46:53","2025-02-21 10:46:53","abstract",NULL,"0"
"245","27","TS",,"2025-02-21 10:47:50","2025-02-21 10:47:50","abstract","No group comparison","1"
"246","28","TS","Group comparison = pre diabetes vs. T2DM ?","2025-02-21 10:50:23","2025-02-21 10:50:23","abstract",NULL,"0"
"247","29","TS",,"2025-02-21 10:53:35","2025-02-21 10:53:35","abstract",NULL,"0"
"248","30","TS","group comparison?","2025-02-21 11:13:33","2025-02-21 11:13:33","abstract",NULL,"0"
"249","31","TS",,"2025-02-23 22:23:02","2025-02-23 22:23:02","abstract",NULL,"0"
"250","32","TS","is there a group comparison?","2025-02-23 22:28:37","2025-02-23 22:28:37","abstract",NULL,"0"
"251","33","TS",,"2025-02-23 22:31:11","2025-02-23 22:31:11","abstract","No pre-post design","1"
"252","34","TS",,"2025-02-23 22:35:13","2025-02-23 22:35:13","abstract",NULL,"0"
"253","35","TS",,"2025-02-23 22:41:43","2025-02-23 22:41:43","abstract",NULL,"0"
"254","36","TS",,"2025-02-23 22:46:55","2025-02-23 22:46:55","abstract","No pre-post design","1"
"255","37","TS",,"2025-02-23 22:48:06","2025-02-23 22:48:06","abstract","No pre-post design","1"
"256","38","TS",,"2025-02-23 22:49:07","2025-02-23 22:49:07","abstract",NULL,"0"
"257","39","TS",,"2025-02-23 22:49:34","2025-02-23 22:49:34","abstract",NULL,"0"
"258","40","TS","group comparison?","2025-02-23 22:51:20","2025-02-23 22:51:20","abstract",NULL,"0"
"259","1","TS",,"2025-02-25 10:09:43","2025-02-25 10:09:43","fulltext",NULL,"0"
"260","5","TS",,"2025-02-25 10:14:51","2025-02-25 10:14:51","fulltext",NULL,"0"
"261","6","TS",,"2025-02-25 10:29:54","2025-02-25 10:29:54","fulltext",NULL,"0"
"262","7","TS",,"2025-02-25 11:42:13","2025-02-25 11:42:13","fulltext",NULL,"0"
"263","9","TS",,"2025-02-25 11:46:50","2025-02-25 11:46:50","fulltext",NULL,"0"
